"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","HLY-DEWP-10PCTL","HLY-DEWP-90PCTL","HLY-DEWP-NORMAL","HLY-HIDX-NORMAL","HLY-TEMP-10PCTL","HLY-TEMP-90PCTL","HLY-TEMP-NORMAL","HLY-WCHL-NORMAL"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","01-01T01:00:00","19.9","53.1","33.6","41.9","28.9","59.0","41.9","37.2"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","01-01T02:00:00","19.9","53.1","33.5","41.3","28.9","57.0","41.3","36.5"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","01-01T03:00:00","19.0","54.0","33.5","40.8","28.0","57.0","40.8","35.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","01-01T04:00:00","19.0","53.1","33.4","40.2","27.0","57.0","40.2","35.2"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","01-01T05:00:00","19.0","54.0","33.3","39.7","27.0","57.0","39.7","34.6"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","01-01T06:00:00","19.0","54.0","33.1","39.3","27.0","55.9","39.3","34.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","01-01T07:00:00","19.0","53.1","32.8","38.9","26.1","55.9","38.9","33.4"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","01-01T08:00:00","19.0","52.0","32.7","39.0","27.0","55.0","39.0","33.6"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","01-01T09:00:00","19.9","51.1","33.6","41.3","28.9","57.0","41.3","36.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","01-01T10:00:00","19.0","52.0","33.9","44.3","30.9","59.0","44.3","39.4"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","01-01T11:00:00","19.0","53.1","34.0","47.0","34.0","63.0","47.0","43.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","01-01T12:00:00","19.0","53.1","34.0","49.4","34.0","66.0","49.4","46.1"
